artist,uri
Royce Da 5'9",spotify:artist:6DVipHzYsPlIoA0DW8Gmns
Meek Mill,spotify:artist:20sxb77xiYeusSH8cVdatc
HS87,spotify:artist:6NUVKfz2xAi4mJJkGm6zyz
Jay Rock,spotify:artist:28ExwzUQsvgJooOI0X1mr3
Jon Connor,spotify:artist:1F5zdoXcwIB9XSNfitdo7x
K Dot,spotify:artist:76jXqVvxWJNHFGF5DDkVjb
Odd Future,spotify:artist:5xpkLC1MxiPRiIJUDEzuVm
Smoke Dza,spotify:artist:3kf0gOpxWtkyeMNJVDQPtd
Stalley,spotify:artist:1wUmdemiR9Dxw8A2el365A
Jay Electronica,spotify:artist:0TkqXdyWLsssJH7okthMPQ
Chuck Inglish,spotify:artist:64MoApwh8MFMHUarm13lrv
Tech N9ne,spotify:artist:6UBA15slIuadJ8h2lPRPos
Tyga,spotify:artist:5LHRHt1k9lMyONurDHEdrp
Flatbush Zombies,spotify:artist:1dqGS5sT6PE2wEvP1gROZC
Yo Gotti,spotify:artist:6Ha4aES39QiVjR0L2lwuwq
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT
Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
Juicy J,spotify:artist:5gCRApTajqwbnHHPbr2Fpi
Papoose,spotify:artist:0mbgkaYR8KNUb5s3s1yYHG
Wiz Khalifa,spotify:artist:137W8MRPWKqSmrBGDBFSop
Migos,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG
Riff Raff,spotify:artist:31IZdHrCZ5pRhLz4zBxN3o
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
G-Unit,spotify:artist:6evKD5JWJON3qPBJtUEmtY
Slaughterhouse,spotify:artist:5rVbcJv0JRfhWLA3mgM73r
Problem,spotify:artist:0399oiMcmbOzzsYQDNYqxn
Machine Gun Kelly,spotify:artist:6TIYQ3jFPwQSRmorSezPxX
Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh
Chubby Jag,spotify:artist:4R6MQEkEXJSwc7kOjUqjc5
Hopsin,spotify:artist:7EWU4FhUJM1sZQgQKdENeT
Kid Ink,spotify:artist:6KZDXtSj0SzGOV705nNeh3
Nino Bless,spotify:artist:0o32493qFObEidnHJwBZ5o
Nipsey Hussle,spotify:artist:0EeQBlQJFiAfJeVN2vT9s0
Rockie Fresh,spotify:artist:5Joy3NHmxKQGEOnjxtaMz3
Dave East,spotify:artist:7e10JUMF7MJmmwYpnTSMI5
J-Doe,spotify:artist:2lYhyl1fMy67sFdeN1X274
Ace Hood,spotify:artist:31HjiqargV4NAw4GZqUale
Shwayze,spotify:artist:6f0hUHWLOCxCSDQMtdVAS7
E-40,spotify:artist:3crnzLy8R4lVwaigKEOz7V
G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z
Chief Keef,spotify:artist:15iVAtD3s3FsQR4w1v6M0P
Trinidad James,spotify:artist:0I5HubncQ8E1MFZOlPDY4J
Pusha T,spotify:artist:0ONHkAv9pCAFxb0zJwDNTy
Ground Up,spotify:artist:0p1CrPBclXVis7VD4gtFri
Lil Wayne,spotify:artist:55Aa2cqylxrFIXC767Z865
Chamillionaire,spotify:artist:6vdMPayKk8YJxxeNP5oMCb
will.i.am,spotify:artist:085pc2PYOi8bGKj0PNjekA
Termanology,spotify:artist:7oF48iRjggIDjtfRcmmMvl
YelaWolf,spotify:artist:68DWke2VjdDmA75aJX5C57
Talib Kweli,spotify:artist:0lEssBAxQl2In4RpaB1C2Y
Vic Mensa,spotify:artist:27w1NoOLMX7tJMYqcetPyG
Fort Minor,spotify:artist:7dWYWUbO68rXJOcyA7SpJk
